code,system
37947.0,readv2
36568.0,readv2
64467.0,readv2
101733.0,readv2
824.0,readv2
100103.0,readv2
49715.0,readv2
70467.0,readv2
55883.0,readv2
106850.0,readv2
48920.0,readv2
55661.0,readv2
58023.0,readv2
32002.0,readv2
65855.0,readv2
97853.0,readv2
104342.0,readv2
106482.0,readv2
54205.0,readv2
43555.0,readv2
8769.0,readv2
25478.0,readv2
31390.0,readv2
70455.0,readv2
91282.0,readv2
61760.0,readv2
3585.0,readv2
57100.0,readv2
22006.0,readv2
5503.0,readv2
98526.0,readv2
55885.0,readv2
107851.0,readv2
39344.0,readv2
22038.0,readv2
3576.0,readv2
38099.0,readv2
3392.0,readv2
61366.0,readv2
58166.0,readv2
27284.0,readv2
41180.0,readv2
42506.0,readv2
97808.0,readv2
105403.0,readv2
20676.0,readv2
15382.0,readv2
95077.0,readv2
94496.0,readv2
28309.0,readv2
20161.0,readv2
1224.0,readv2
84404.0,readv2
